Exam Id|Exam Date|Candidate Email|Candidate Name|Question Number|Answer
EX202001|2020-08-01|jdoe@email.com|John Doe|1|A
EX202001|2020-08-01|jdoe@email.com|John Doe|2|C
EX202001|2020-08-01|jdoe@email.com|John Doe|3|C
EX202001|2020-08-01|jdoe@email.com|John Doe|4|C
EX202001|2020-08-01|jdoe@email.com|John Doe|5|B
EX202001|2020-08-01|jdoe@email.com|John Doe|6|B
EX202001|2020-08-01|jdoe@email.com|John Doe|7|C
EX202001|2020-08-01|jdoe@email.com|John Doe|8|A
EX202001|2020-08-01|jdoe@email.com|John Doe|9|D
EX202001|2020-08-01|jdoe@email.com|John Doe|10|A
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|1|A
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|2|C
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|3|C
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|4|D
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|5|
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|7|C
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|8|C
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|9|D
EX202001|2020-08-01|gcohen@company.com|Gary Cohen|10|A
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|1|A
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|2|C
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|3|A
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|4|C
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|5|F
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|6|D
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|7|C
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|8|A
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|10|B
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|11|D
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|12|A
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|13|B
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|14|C
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|16|A
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|17|B
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|18|D
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|19|D
EX202003|2020-08-02|ck@mail.com|Carmen Kelly|20|A
